Frame	Time	Point #1.X	Point #1.Y	Point #2.X	Point #2.Y	Point #3.X	Point #3.Y	Point #4.X	Point #4.Y	Angle #1
90	0,406393	165,000000	878,299988	287,500000	540,000000	97,408997	194,000000	247,000000	101,000000	228,689774
91	0,410959	164,610992	878,778015	290,950012	542,400024	99,556000	197,000000	247,250000	100,699997	229,577332
92	0,415525	164,389008	879,000000	294,389008	544,000000	101,699997	198,600006	247,800003	100,699997	230,365158
93	0,420092	164,389008	879,000000	297,635986	545,817993	103,800003	202,399994	248,610992	101,000000	231,239334
94	0,424658	164,389008	879,000000	301,454987	547,817993	106,250000	204,500000	249,056000	100,222000	232,105011
95	0,429224	164,214005	879,000000	304,549988	549,400024	108,636002	207,182007	249,800003	100,500000	232,853577
96	0,433790	164,356995	880,000000	307,950012	550,599976	111,199997	209,500000	250,544998	100,363998	233,530273
97	0,438357	164,356995	880,000000	310,908997	552,908997	113,778000	212,000000	251,100006	100,500000	234,173294
98	0,442923	164,389008	880,000000	314,200012	554,500000	116,318001	214,908997	251,850006	100,500000	234,943848
99	0,447489	164,188004	880,375000	317,149994	556,500000	118,750000	217,582993	252,591003	100,273003	235,625214
100	0,452055	164,500000	881,000000	320,317993	558,817993	121,955002	219,908997	253,100006	100,500000	236,150345
101	0,456621	164,610992	881,000000	323,200012	560,400024	124,458000	221,667007	253,949997	100,500000	236,720978
102	0,461188	164,929001	882,000000	326,110992	562,000000	127,636002	224,000000	254,949997	100,599998	237,155731
103	0,465754	165,389008	882,000000	328,899994	564,400024	130,899994	225,500000	255,100006	100,500000	237,536224
104	0,470320	165,438004	881,875000	331,500000	565,908997	133,957993	227,582993	256,221985	100,889000	238,004868
105	0,474886	165,643005	883,000000	334,000000	567,908997	136,636002	230,000000	256,778015	101,111000	238,404251
106	0,479453	165,750000	883,500000	337,100006	569,500000	140,000000	231,582993	257,937988	101,500000	238,875458
107	0,484019	166,000000	884,375000	339,450012	571,500000	142,850006	233,500000	259,166992	101,222000	239,187592
108	0,488585	166,188004	884,625000	341,549988	573,500000	145,591003	236,000000	260,278015	102,000000	239,547546
109	0,493151	166,438004	885,375000	344,049988	575,500000	148,556000	238,000000	262,000000	101,800003	239,901367
110	0,497717	166,813004	885,625000	347,000000	577,500000	151,332993	240,000000	264,333008	102,889000	240,421661
111	0,502284	167,063004	886,500000	349,317993	579,817993	153,699997	242,399994	266,889008	102,333000	240,825180
112	0,506850	167,063004	887,375000	351,500000	581,817993	156,300003	244,399994	269,278015	103,889000	241,165421
113	0,511416	167,250000	887,500000	353,500000	583,817993	158,944000	246,000000	272,000000	103,800003	241,459518
114	0,515982	167,688004	888,375000	355,500000	585,817993	161,399994	247,600006	275,221985	105,889000	241,681000
115	0,520548	167,714005	889,000000	358,045013	587,000000	163,449997	249,500000	278,062988	107,500000	242,187363
116	0,525115	168,356995	889,856995	360,045013	589,000000	165,600006	251,500000	281,000000	109,500000	242,450516
117	0,529681	168,125000	890,375000	362,000000	591,400024	167,636002	252,908997	284,000000	111,500000	242,826782
118	0,534247	168,125000	890,500000	363,778015	593,000000	169,917007	253,667007	287,049988	113,500000	243,070541
119	0,538813	168,438004	891,375000	365,562988	594,500000	171,957993	255,500000	290,000000	115,500000	243,315109
120	0,543379	168,750000	891,500000	367,299988	596,400024	173,350006	257,500000	293,100006	117,500000	243,715759
121	0,547946	168,813004	891,625000	369,049988	598,400024	174,957993	259,583008	296,375000	118,625000	244,134644
122	0,552512	169,000000	892,500000	370,899994	599,500000	177,136002	260,091003	299,600006	120,699997	244,291351
123	0,557078	169,063004	893,375000	372,317993	601,000000	179,050003	261,500000	303,049988	122,400002	244,458160
124	0,561644	169,167007	893,500000	373,791992	603,333008	181,222000	262,000000	307,000000	124,111000	244,621796
125	0,566210	169,250000	893,625000	375,350006	604,599976	183,610992	263,000000	311,250000	124,699997	244,797531
126	0,570777	169,813004	894,500000	376,700012	606,400024	186,227005	264,000000	315,454987	126,091003	244,769104
127	0,575343	169,714005	895,000000	377,649994	607,500000	189,449997	265,399994	319,778015	127,889000	244,693130
128	0,579909	169,667007	895,500000	379,317993	609,726990	192,500000	265,908997	324,750000	128,500000	244,782822
129	0,584475	169,500000	895,500000	380,250000	610,500000	195,957993	266,333008	329,221985	129,889008	244,649780
130	0,589041	169,610992	896,000000	381,450012	612,400024	199,817993	266,000000	334,135986	130,272995	244,428299
131	0,593608	169,875000	896,500000	382,750000	613,400024	203,149994	265,600006	339,000000	131,500000	244,252396
132	0,598174	170,000000	896,625000	383,562988	614,500000	207,250000	265,500000	343,721985	132,222000	243,927673
133	0,602740	169,929001	897,000000	384,110992	616,000000	211,332993	265,000000	349,056000	134,222000	243,523621
134	0,607306	170,167007	897,500000	385,049988	617,400024	215,250000	264,500000	355,049988	134,800003	243,188980
135	0,611872	170,429001	898,000000	385,750000	618,400024	219,399994	263,500000	360,556000	136,889008	242,713593
136	0,616439	170,063004	898,375000	386,635986	618,908997	223,600006	261,600006	366,333008	137,110992	242,300674
137	0,621005	170,070999	898,143005	387,299988	619,500000	228,000000	260,091003	372,556000	138,889008	241,844086
138	0,625571	170,214005	899,000000	388,056000	620,000000	232,600006	259,399994	378,950012	138,699997	241,303619
139	0,630137	170,643005	899,856995	388,350006	621,400024	237,389008	257,000000	385,200012	139,699997	240,522385
140	0,634703	170,750000	899,625000	388,500000	622,400024	242,500000	255,000000	391,333008	140,110992	239,820557
141	0,639269	170,429001	900,000000	388,812988	622,500000	247,649994	253,399994	398,399994	141,500000	239,131104
142	0,643836	170,643005	900,000000	389,049988	623,400024	253,222000	251,000000	404,833008	142,582993	238,333862
143	0,648402	170,438004	900,500000	389,317993	623,726990	258,649994	248,600006	411,454987	143,182007	237,542709
144	0,652968	170,917007	900,500000	389,278015	624,000000	264,350006	246,600006	418,610992	144,889008	236,615021
145	0,657534	170,929001	901,856995	389,450012	624,400024	270,045013	245,000000	425,500000	145,091003	235,693314
146	0,662100	171,000000	901,856995	389,450012	624,400024	275,791992	243,417007	432,591003	146,000000	234,825714
147	0,666667	171,000000	901,500000	389,350006	624,400024	281,817993	241,000000	439,649994	146,600006	233,904694
148	0,671233	171,000000	901,625000	389,273010	624,000000	287,458008	238,750000	447,221985	148,000000	232,978806
149	0,675799	171,188004	901,625000	388,500000	624,400024	292,778015	237,000000	455,182007	149,000000	231,971420
150	0,680365	171,250000	901,625000	388,049988	624,299988	298,000000	235,727005	462,399994	150,399994	231,064377
151	0,684931	171,750000	902,500000	387,875000	623,416992	303,864014	233,727005	469,635986	151,091003	229,920471
152	0,689498	171,813004	902,500000	387,454987	623,000000	309,591003	231,000000	477,437988	152,500000	228,885757
153	0,694064	171,714005	902,856995	386,778015	622,888977	315,591003	229,000000	485,083008	154,332993	227,774918
154	0,698630	171,667007	902,500000	386,000000	622,400024	321,500000	227,000000	492,773010	155,817993	226,688095
155	0,703196	171,667007	902,500000	385,317993	621,726990	327,250000	225,399994	500,576996	157,076996	225,604309
156	0,707762	171,667007	902,500000	384,750000	620,500000	333,500000	223,000000	508,385010	159,000000	224,421844
157	0,712329	171,714005	903,000000	383,721985	620,000000	339,700012	221,600006	515,750000	161,399994	223,143967
158	0,716895	172,000000	902,625000	382,850006	619,400024	346,049988	220,399994	523,549988	163,399994	221,935760
159	0,721461	171,856995	903,000000	381,950012	618,400024	352,500000	218,399994	531,273010	165,091003	220,645721
160	0,726027	171,832993	902,500000	380,950012	617,400024	359,666992	216,110992	538,773010	168,000000	219,295471
161	0,730593	172,000000	902,143005	379,950012	616,400024	365,682007	215,000000	545,900024	170,399994	218,081085
162	0,735160	172,000000	902,143005	378,950012	615,400024	372,100006	214,399994	553,556030	173,000000	216,797623
163	0,739726	172,000000	902,500000	377,950012	614,400024	379,250000	212,500000	560,726990	176,000000	215,373978
164	0,744292	172,000000	902,500000	376,850006	613,400024	385,850006	212,399994	567,817993	179,182007	214,034836
165	0,748858	172,063004	902,500000	375,682007	612,182007	392,799988	211,399994	575,182007	182,908997	212,598785
166	0,753424	172,250000	902,375000	374,850006	611,400024	399,556000	210,110992	582,000000	186,332993	211,325653
167	0,757990	172,429001	902,000000	373,364014	610,182007	406,135986	210,727005	588,958008	189,500000	209,859711
168	0,762557	172,429001	902,000000	372,600006	609,400024	412,791992	210,332993	595,182007	193,091003	208,625336
169	0,767123	172,429001	902,000000	371,221985	608,888977	418,958008	210,332993	601,635986	197,091003	207,315887
170	0,771689	172,750000	901,625000	370,182007	607,091003	425,721985	210,889008	607,875000	201,500000	205,854950
171	0,776255	172,714005	901,143005	369,000000	606,888977	432,399994	211,199997	613,653992	205,845993	204,602844
172	0,780821	172,667007	901,500000	367,700012	606,200012	439,549988	210,500000	619,458008	209,582993	203,151581
173	0,785388	172,667007	901,500000	366,721985	604,221985	444,791992	212,082993	625,083008	214,500000	201,875748
