"Latest: Time (s)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)"
1.85,21.7556592718,28.8550645557
1.86,21.7790221491,28.9467589642
1.87,21.7337546941,28.9467589642
1.88,21.7790221491,28.8783498038
1.89,21.7556592718,28.9467589642
1.9,21.7790221491,28.9467589642
1.91,21.7337546941,28.9467589642
1.92,21.7790221491,28.9016365565
1.93,21.7556592718,28.9700502027
1.94,21.7790221491,28.8550645557
1.95,21.7337546941,28.9467589642
1.96,21.7790221491,28.831780801
1.97,21.7556592718,28.9467589642
1.98,21.7790221491,28.9700502027
1.99,21.7337546941,28.9700502027
2,21.7790221491,28.8783498038
2.01,21.7556592718,28.9700502027
2.02,21.7790221491,28.8550645557
2.03,21.7337546941,28.9467589642
2.04,21.7790221491,28.8550645557
2.05,21.7337546941,28.9467589642
2.06,21.7790221491,28.9700502027
2.07,21.7556592718,28.9249248252
2.08,21.7790221491,28.8783498038
2.09,21.7556592718,28.9467589642
2.1,21.7790221491,28.8783498038
2.11,21.7556592718,28.9467589642
2.12,21.7790221491,28.9249248252
2.13,21.7337546941,28.8783498038
2.14,21.7790221491,28.9467589642
2.15,21.7556592718,28.831780801
2.16,21.7790221491,28.9700502027
2.17,21.7337546941,28.9016365565
2.18,21.7790221491,28.8550645557
2.19,21.7337546941,28.9467589642
2.2,21.7790221491,28.9467589642
2.21,21.7556592718,28.9249248252
2.22,21.7790221491,28.9467589642
2.23,21.7556592718,28.9467589642
2.24,21.7790221491,28.9700502027
2.25,21.7556592718,28.9467589642
2.26,21.7790221491,28.9467589642
2.27,21.7556592718,28.9467589642
2.28,21.7790221491,28.8550645557
2.29,21.7556592718,28.9467589642
2.3,21.7790221491,28.8550645557
2.31,21.7556592718,28.9467589642
2.32,21.7790221491,28.8550645557
2.33,21.7556592718,28.9467589642
2.34,21.7790221491,28.9700502027
2.35,21.7556592718,28.9249248252
2.36,21.7790221491,28.8783498038
2.37,21.7556592718,28.8783498038
2.38,21.7790221491,28.9700502027
2.39,21.7556592718,28.831780801
2.4,21.7790221491,28.9700502027
2.41,21.7556592718,28.831780801
2.42,21.7790221491,28.9700502027
2.43,21.7556592718,28.8550645557
2.44,21.7790221491,28.9467589642
2.45,21.7556592718,28.8550645557
2.46,21.7790221491,28.9700502027
2.47,21.7556592718,28.9016365565
2.48,21.7790221491,28.9700502027
2.49,21.7556592718,28.8783498038
2.5,21.7790221491,28.9700502027
2.51,21.7556592718,28.9467589642
2.52,21.7790221491,28.9249248252
2.53,21.7556592718,28.8783498038
2.54,21.7790221491,28.9700502027
2.55,21.7556592718,28.9249248252
2.56,21.7790221491,28.8783498038
2.57,21.7556592718,28.8550645557
2.58,21.7790221491,28.9700502027
2.59,21.7556592718,28.8783498038
2.6,21.7790221491,28.9700502027
2.61,21.7556592718,28.8550645557
2.62,21.7790221491,28.9700502027
2.63,21.7556592718,28.9016365565
2.64,21.7790221491,28.8550645557
2.65,21.7556592718,28.9249248252
2.66,21.7790221491,28.9700502027
2.67,21.7556592718,28.9016365565
2.68,21.7790221491,28.9467589642
2.69,21.7556592718,28.831780801
2.7,21.7790221491,28.9700502027
2.71,21.7337546941,28.9467589642
2.72,21.7790221491,28.831780801
2.73,21.7556592718,28.9467589642
2.74,21.7790221491,28.9700502027
2.75,21.7337546941,28.8550645557
2.76,21.7790221491,28.9700502027
2.77,21.7556592718,28.9467589642
2.78,21.7790221491,28.8550645557
2.79,21.7556592718,28.9467589642
2.8,21.7790221491,28.8783498038
2.81,21.7556592718,28.9016365565
2.82,21.7790221491,28.831780801
2.83,21.7556592718,28.9467589642
2.84,21.7790221491,28.8550645557
2.85,21.7556592718,28.9249248252
2.86,21.8023829681,28.9467589642
2.87,21.7556592718,28.8783498038
2.88,21.7790221491,28.9016365565
2.89,21.7556592718,28.9467589642
2.9,21.8023829681,28.8783498038
2.91,21.7556592718,28.9467589642
2.92,21.7790221491,28.9467589642
2.93,21.7556592718,28.831780801
2.94,21.7790221491,28.9700502027
2.95,21.7337546941,28.8783498038
2.96,21.7790221491,28.831780801
2.97,21.7556592718,28.8783498038
2.98,21.7790221491,28.9700502027
2.99,21.7556592718,28.831780801
3,21.7790221491,28.9700502027
3.01,21.7556592718,28.8783498038
3.02,21.7790221491,28.9467589642
3.03,21.7337546941,28.9467589642
3.04,21.7790221491,28.8783498038
3.05,21.7556592718,28.9700502027
3.06,21.7790221491,28.8550645557
3.07,21.7556592718,28.9249248252
3.08,21.7790221491,28.9700502027
3.09,21.7790221491,28.831780801
3.1,21.7790221491,28.9700502027
3.11,21.7556592718,28.8550645557
3.12,21.7790221491,28.9700502027
3.13,21.7790221491,28.8783498038
3.14,21.7790221491,28.9467589642
3.15,21.7556592718,28.9016365565
3.16,21.7790221491,28.9467589642
3.17,21.7790221491,28.8550645557
3.18,21.7790221491,28.8783498038
3.19,21.7790221491,28.8783498038
3.2,21.7790221491,28.9700502027
3.21,21.7556592718,28.8783498038
3.22,21.8023829681,28.9016365565
3.23,21.7790221491,28.9249248252
3.24,21.7790221491,28.9016365565
3.25,21.7556592718,28.9016365565
3.26,21.8257417415,28.9249248252
3.27,21.7790221491,28.9016365565
3.28,21.8023829681,28.831780801
3.29,21.7790221491,28.9700502027
3.3,21.7790221491,28.9467589642
3.31,21.7556592718,28.8783498038
3.32,21.7790221491,28.8783498038
3.33,21.7556592718,28.9467589642
3.34,21.8257417415,28.8550645557
3.35,21.7556592718,28.8783498038
3.36,21.7790221491,28.9700502027
3.37,21.7556592718,28.831780801
3.38,21.7790221491,28.9467589642
3.39,21.7337546941,28.9467589642
3.4,21.8023829681,28.9016365565
3.41,21.7556592718,28.831780801
3.42,21.7790221491,28.9016365565
3.43,21.7790221491,28.9467589642
3.44,21.7790221491,28.8783498038
3.45,21.7556592718,28.9467589642
3.46,21.7790221491,28.8783498038
3.47,21.7790221491,28.9249248252
3.48,21.7790221491,28.8550645557
3.49,21.7790221491,28.9467589642
3.5,21.7790221491,28.831780801
3.51,21.7790221491,28.9467589642
3.52,21.7790221491,28.9467589642
3.53,21.7790221491,28.8783498038
3.54,21.7790221491,28.9467589642
3.55,21.7556592718,28.9467589642
3.56,21.7790221491,28.831780801
3.57,21.7556592718,28.9016365565
3.58,21.7790221491,28.9700502027
3.59,21.7790221491,28.831780801
3.6,21.8023829681,28.9700502027
3.61,21.7790221491,28.8550645557
3.62,21.8023829681,28.8783498038
3.63,21.7556592718,28.9467589642
3.64,21.7790221491,28.9467589642
3.65,21.7556592718,28.831780801
3.66,21.8257417415,28.9467589642
3.67,21.7337546941,28.831780801
3.68,21.7790221491,28.9700502027
3.69,21.7103877936,28.8783498038
3.7,21.7790221491,28.9467589642
3.71,21.7337546941,28.9249248252
3.72,21.7790221491,28.9467589642
3.73,21.7556592718,28.831780801
